task,best_threshold,prior,num_of_pos,num_of_pred_pos
UBERON:0002107,0.0445306596333964,0.03385915121114118,1026,3623
CL:0000236,0.0128481190890225,0.014617239300783605,388,4395
UBERON:0035014,0.053171108068631,0.0003757044458359424,12,0
UBERON:0013515,0.3791914408473878,0.01473989330537482,478,538
UBERON:0002185,0.7154375081845048,0.004213746176415506,135,111
UBERON:0016529,0.024485786415976,0.003327041811958156,104,465
UBERON:0010394,0.0151956547188605,0.0059405260627704145,173,551
CL:0002535,0.0931356051806321,0.002014260967650969,50,41
UBERON:0004801,0.0026301513145471,0.0017687844912975803,50,405
UBERON:0007196,0.7154678117886981,0.004213746176415506,135,111
UBERON:0001434,0.3000344821734804,0.11351943742579683,3729,1047
UBERON:0000178,0.1626838490558424,0.1991775319583028,6248,15216
CL:0002632,0.0476664362535652,0.005079071915040979,132,171
UBERON:0002367,0.5921816448882019,0.010808473843493299,350,697
UBERON:0002365,0.0591745718902401,0.03873757544818474,1290,4142
UBERON:0000065,0.1986553691638831,0.07243025734962914,2412,4687
CL:0002092,0.160662837695959,0.017355302776848443,415,95
UBERON:0000956,0.990848638529618,0.01225568217991978,385,44
UBERON:0001295,0.043826335373956,0.0048484848484848485,156,311
UBERON:0001744,0.0005804827761502,0.015619552332473328,448,63804
UBERON:0006562,0.1026148980970516,0.003929577028992234,127,73
UBERON:0016548,0.8371304285050098,0.012121021314107609,385,104
UBERON:0001987,0.0299998589934681,0.001207131360653708,39,32
UBERON:0004725,0.9562020630277028,0.004635698072189009,145,0
CL:0000235,0.5712353953447435,0.005304847031465737,146,41
UBERON:0001893,0.8988170788142494,0.01376503122766678,443,414
CL:0002368,0.6979791823744652,0.005079071915040979,132,110
CL:0000945,0.13813441705902,0.04370895328559237,1178,681
CL:0000738,0.0651743486289372,0.1715379619184357,5018,31676
UBERON:0016526,0.7736094879207303,0.00852759017771,274,207
UBERON:0003135,0.0226643924805919,0.0011762520893951588,38,146
CL:0000163,0.0014401314119351,0.0032761252373329362,88,8205
UBERON:0002743,0.0021759764984531,0.0005637684790779253,18,33
UBERON:0000989,0.0238416694107053,0.0005571892895836558,18,14
UBERON:0000349,0.6681332728451418,0.0050561797752808986,162,22
UBERON:0001555,0.0471643265311581,0.1302246919545784,4312,11141
UBERON:0000160,0.2722339033855089,0.08485476546069676,2784,3138
UBERON:0000995,0.3792027734511507,0.01473989330537482,478,538
UBERON:0004175,0.0101752002867212,0.015115598928670381,491,6944
UBERON:0011374,0.0256464405150615,0.0005865293753462153,18,14
UBERON:0000029,0.2785325021852544,0.011914922672493257,349,566
UBERON:0002616,0.9139317447737848,0.016064381816486964,517,384
UBERON:0002600,0.6622438231123937,0.004526864599918828,145,22
UBERON:0000125,0.0001742726256978,0.0008249777890595254,26,3718
UBERON:0010039,0.0041207898925771,0.0063556037823593245,205,1334
CL:0000542,0.0957424888744964,0.07421718368388437,2036,8846
UBERON:0000948,0.381691616912136,0.006765728738539361,214,136
UBERON:0002049,0.2432783240909448,0.0023763686680303214,79,374
UBERON:0004755,0.0004579147597294,0.0018341412288746233,56,22259
UBERON:0006955,0.0344177493089053,0.001767783906095319,50,41
UBERON:0009663,0.002176194671392,0.0005773672055427252,18,33
UBERON:0002113,0.7432760427197088,0.01857665296611541,574,972
UBERON:0000451,0.5582515520193859,0.003327041811958156,104,124
UBERON:0001474,0.2088727683613025,0.08190782219701982,2600,1525
UBERON:0002199,0.0407726217990288,0.038917750217711176,1296,4791
UBERON:0003297,0.0352504368227873,0.0005104951803249152,17,46
UBERON:0012168,0.8826024465173808,0.002621779770499278,69,0
UBERON:0002349,0.1503167130077021,0.0011760966306420852,37,40
UBERON:0001728,0.0016197064819864,0.0035087719298245615,109,53
UBERON:0000411,0.0509368396913268,0.000384874434715674,12,0
UBERON:0002894,0.9562049517554058,0.004635698072189009,145,0
UBERON:0002420,0.0021770591191399,0.0010905824993584809,34,33
UBERON:0001043,0.0555513223527257,0.003037329762565727,93,167
UBERON:0022303,0.8376236259307914,0.012121021314107609,385,104
UBERON:0011143,0.9170849123832464,0.01763170019966211,574,732
UBERON:0005983,0.0540872596919727,0.001493723184490704,47,46
UBERON:0004907,0.0192776524864896,0.08438767110758819,2768,4350
UBERON:0012429,0.0641731931947155,0.0004034535624949568,10,216
UBERON:0001556,0.1221042626215765,0.0007429190527782077,24,188
UBERON:0002048,0.5211709731750377,0.06780679016248341,2145,2590
UBERON:0000369,0.0021769392108789,0.0005773672055427252,18,33
UBERON:0000982,0.0004116663586431,0.0006379585326953748,20,60
UBERON:0007798,0.243273155555027,0.0023763686680303214,79,374
UBERON:0002046,0.8885566876987612,0.0005771216815503311,19,21
UBERON:0005057,0.0458356080735995,0.01693352907036291,496,2345
UBERON:0006925,0.0394368395365979,0.03202247191011236,1026,3377
UBERON:0002081,0.0002359073396943,0.0003181876034109711,10,8996
CL:0000451,0.0786465477389126,0.0028666095826663193,77,323
UBERON:0003920,0.5239942895919064,0.0017755040625940415,59,165
UBERON:0001871,0.9655682766371664,0.004776622646810902,153,0
UBERON:0000992,0.0254549204806095,0.030692033000861964,997,2448
CL:0001035,0.0036754030283547,0.015469810646659522,433,10304
UBERON:0010009,0.0021769856516571,0.0010648960160360812,34,33
UBERON:0001869,0.0886894188676322,0.01357859739614082,437,2098
CL:1001608,8.316981676800417e-05,0.0007242877836793819,18,194
UBERON:0000203,0.090995738794325,0.011965811965811967,385,1684
CL:0002620,0.1194981726546239,0.004040179398791653,109,118
UBERON:0001911,0.0503334217801508,0.000512310520447217,17,29
CL:0000786,0.7906827122315736,0.014667523532302574,388,297
UBERON:0001042,0.0005316531206525,0.004088202156768067,127,9176
UBERON:0007245,0.0001742595727794,0.0013326564284807717,42,3718
UBERON:0001735,0.0056345107374491,0.0007287791032181351,19,0
CL:0001200,0.0017481000625256,0.0030929390464695234,82,8923
CL:0000946,0.1223111011543527,0.02136367049635804,569,461
CL:0000182,0.0746394362688937,0.006168208718846378,148,322
UBERON:0000170,0.3192986019861121,0.0644182833803832,2145,3021
UBERON:0013754,0.0147250856530804,0.020149545058706947,671,104
UBERON:0004807,0.7754100669533387,0.0054525627044711015,160,85
UBERON:0011300,0.0055446487753716,0.013079591382108647,411,6129
UBERON:0000459,0.0084524883345921,0.006392949135710518,206,1468
UBERON:0004905,0.0004116327467287,0.0006379585326953748,20,60
