task,best_threshold,prior,num_of_pos,num_of_pred_pos
MONDO:0017026,0.0112667884153541,0.0035374149659863946,13,196
MONDO:0004979,0.0385436765764636,0.006800870511425462,25,180
MONDO:0005244,0.0088242254250579,0.005442176870748299,20,214
MONDO:0015756,0.1093703463083418,0.04979591836734694,183,5062
MONDO:0044137,0.0275255702259714,0.005712731229597388,21,216
MONDO:0021681,0.0374562138815526,0.012799564270152506,47,768
MONDO:0005763,0.0978464351937864,0.011444141689373298,42,153
MONDO:0005169,0.0176748535345503,0.0035374149659863946,13,12
MONDO:0020049,0.0375084564192554,0.011425462459194777,42,286
MONDO:0018078,0.0186332472232393,0.01257174091281771,46,1542
MONDO:0005374,0.1572149714834325,0.04653061224489796,171,3460
MONDO:0004952,0.0107984581526392,0.004088307440719542,15,121
MONDO:0024878,0.0144755612279416,0.005737704918032787,21,114
MONDO:0002050,0.3019985078218379,0.009793253536452665,36,17
MONDO:0024477,0.0557452398539784,0.03130103429504627,115,5745
MONDO:0002120,0.0306888008495008,0.004373974849644614,16,5
MONDO:0021545,0.0098050922889786,0.00544069640914037,20,167
MONDO:0001056,0.0450291228717752,0.0076481835564053535,28,708
MONDO:0005180,0.0851722592205219,0.029651795429815015,109,516
MONDO:0021074,0.0342853730852532,0.003808487486398259,14,1
MONDO:0021227,0.0062332361950132,0.0032653061224489797,12,143
MONDO:0002039,0.1493209362090113,0.056311207834602826,207,1482
MONDO:0016680,0.1360558811169077,0.027019575406672183,98,1204
MONDO:0005872,0.1183358303784116,0.05268905268905269,193,2641
MONDO:0000591,0.0336098365770102,0.010623808226641242,39,1301
MONDO:0005086,0.0174000441803772,0.009852216748768473,36,1681
MONDO:0003778,0.0108366678472071,0.007889009793253536,29,80
MONDO:0005075,0.045521722612721,0.0032858707557502738,12,120
MONDO:0021066,0.0960969592637673,0.017682263329706203,65,690
MONDO:0001627,0.1105753275589473,0.035908596300326445,132,1099
MONDO:0020590,0.1737164801503399,0.007360959651035987,27,44
MONDO:0021167,0.0087151629935555,0.003264417845484222,12,621
MONDO:0017128,0.0304738768239657,0.0035364526659412403,13,1
MONDO:0020753,0.0242081704825286,0.0032697547683923707,12,305
MONDO:0006512,0.0351689518227576,0.006548974943052392,23,902
MONDO:0100342,0.1666005650934832,0.03986892408519935,146,1751
MONDO:0005172,0.1555819387102293,0.07889009793253536,290,6329
MONDO:0000429,0.0396548697981732,0.017954298150163223,66,92
MONDO:0000270,0.2932678727690709,0.05794341675734494,213,3523
MONDO:0024879,0.0144032721345644,0.00573927302541678,21,113
MONDO:0024582,0.0601647681548445,0.022850924918389554,84,3051
MONDO:0006054,0.1131411358474898,0.04488574537540805,165,4442
MONDO:0005812,0.016627690146218,0.006541291905151268,24,886
MONDO:0021095,0.0851760799598098,0.029651795429815015,109,516
MONDO:0016139,0.0146618271091818,0.0035364526659412403,13,35
MONDO:0021211,0.0382692973547948,0.017138193688792165,63,763
MONDO:0024654,0.0050221793701247,0.003264417845484222,12,292
MONDO:0020127,0.0116978231966296,0.0038095238095238095,14,6
MONDO:0600023,0.0080991902250236,0.0029923830250272033,11,201
MONDO:0024575,0.0151726187967386,0.003264417845484222,12,68
MONDO:0021223,0.2033325133462492,0.10228509249183895,376,9767
MONDO:0000430,0.0129296067772566,0.00327242977911099,12,22
MONDO:0016708,0.1107387768146294,0.041349292709466814,152,1191
MONDO:0000569,0.0208026633729588,0.005171475231355471,19,69
MONDO:0007959,0.0134893834965516,0.006528835690968444,24,428
MONDO:0043905,0.014159785091248,0.004081632653061225,15,57
MONDO:0005401,0.0525808740853655,0.010337323177366704,38,259
MONDO:0020128,0.1972337703641397,0.022064832470716427,81,262
MONDO:0004989,0.0674904187620305,0.027746319365798414,98,5758
MONDO:0005010,0.0161411904237088,0.004625850340136055,17,187
MONDO:0005155,0.0145805797398453,0.003538377789874796,13,148
MONDO:0004821,0.0063589688950564,0.0035364526659412403,13,257
MONDO:0005133,0.0078907366362187,0.003808487486398259,14,281
MONDO:0005814,0.3354529967124246,0.040415073730202075,148,1137
MONDO:0002032,0.0097469148899576,0.005001389274798555,18,1047
MONDO:0021698,0.0075052470272861,0.003264417845484222,12,157
MONDO:0006025,0.0182207281029796,0.010609357997823721,39,130
MONDO:0005062,0.1703272657803086,0.06993197278911564,257,3628
MONDO:0005044,0.0120350699646742,0.007074829931972789,26,705
MONDO:0000589,0.0821433750449448,0.013061224489795919,48,351
MONDO:0100118,0.2808326708112196,0.013601741022850925,50,134
MONDO:0002494,0.017339537074731,0.005168661588683352,19,51
MONDO:0002514,0.0733540650980595,0.031284004352557127,115,4053
MONDO:0018876,0.0751352946665166,0.005457025920873124,20,46
MONDO:0005853,0.0140412567958447,0.006006006006006006,22,46
MONDO:0005105,0.0877730051993278,0.036724700761697496,135,1907
MONDO:0005096,0.1915764213408214,0.0226775956284153,83,365
MONDO:0024276,0.2618400150586928,0.10612244897959183,390,5299
MONDO:0005495,0.0218283856135653,0.005714285714285714,21,45
MONDO:0002562,0.0918273257292182,0.018795968400980658,69,343
MONDO:0024417,0.0293468209539616,0.005168661588683352,19,132
MONDO:0009453,0.010836650470849,0.007889009793253536,29,80
MONDO:0024331,0.0571599276606195,0.019662143450567708,71,2343
MONDO:0005178,0.0368947423104504,0.0035364526659412403,13,19
MONDO:0005558,0.0280627794274882,0.017142857142857144,63,2039
MONDO:0005395,0.0793143299992437,0.018498367791077257,68,262
MONDO:0018906,0.0126015241416054,0.004638472032742156,17,255
MONDO:0005231,0.0169168022527453,0.0051813471502590676,19,158
MONDO:0043424,0.0522177514398655,0.006808278867102397,25,116
MONDO:0021581,0.1862497459099722,0.057127312295973884,210,2945
MONDO:0021259,0.0383870607473307,0.0220348204570185,81,3657
MONDO:0021354,0.0106940213870993,0.004352557127312296,16,29
MONDO:0016695,0.0124748411817645,0.004134509371554576,15,184
MONDO:0005385,0.0997882805395892,0.02857142857142857,105,457
MONDO:0002428,0.0075409267439744,0.003540305010893246,13,270
MONDO:0004948,0.0399724980280499,0.011248285322359396,41,355
MONDO:0004976,0.0955657271970632,0.019068373740125308,70,414
MONDO:0017345,0.0068588202819548,0.0035364526659412403,13,55
MONDO:0015514,0.0051439635367239,0.004081632653061225,15,80
MONDO:0005045,0.0242966312239769,0.003268864069735767,12,19
MONDO:0021100,0.1098845277275842,0.0647442872687704,238,6748
