task	best_threshold	prior	log2(auprc/prior)
MONDO:0021076	0.0471910941512346	0.00816326530612245	6.711571383367797
MONDO:0003916	0.1795821313333957	0.010869565217391304	6.322191550038659
MONDO:0000437	0.0040220864667411	0.004076086956521739	7.938599455335857
MONDO:0015144	0.0039742049742743	0.004076086956521739	7.356574237694254
MONDO:0006181	0.1417723906289326	0.06557377049180328	3.613233041290492
MONDO:0005004	0.0121930412648793	0.004098360655737705	7.930737337562887
MONDO:0024757	0.0116597349320478	0.004081632653061225	7.599602951725
MONDO:0019496	0.0141852046823648	0.005442176870748299	4.865797698452122
MONDO:0015860	0.0039655111649054	0.004076086956521739	7.938599455335857
MONDO:0019127	0.008099646548812	0.004076086956521739	6.57324155857953
MONDO:0004950	0.0411057841446145	0.00410958904109589	7.614846146731483
MONDO:0024882	0.0113261876333484	0.006793478260869565	4.930118997535636
MONDO:0020121	0.0226537709459398	0.008152173913043478	6.7865963618908065
MONDO:0006975	0.0098058637224406	0.005434782608695652	6.197333723736025
MONDO:0016072	0.0039656259485404	0.004076086956521739	7.938599455335857
MONDO:0001358	0.0382800759343361	0.008152173913043478	6.166379642380585
MONDO:0005301	0.1013298161804214	0.017711171662125342	5.640179019643442
MONDO:0006244	0.0322396556491209	0.004267425320056899	6.35457007348876
MONDO:0002614	0.0619845754916284	0.017663043478260868	5.53704465660059
MONDO:0016107	0.0130387752553626	0.004076086956521739	7.938599455335857
MONDO:0004805	0.1535433889183849	0.05570652173913043	3.926142280972398
MONDO:0002974	0.0516779538166173	0.005457025920873124	7.3454884127511315
MONDO:0005002	0.1134975656885486	0.005442176870748299	7.44759985827995
MONDO:0024355	0.0282881523995514	0.010884353741496598	6.270879295328784
MONDO:0002913	0.0134888503678748	0.006793478260869565	7.049630767724601
MONDO:0004670	0.0145294646324715	0.006802721088435374	7.199672344836364
MONDO:0015447	0.1506991118141636	0.004103967168262654	7.928765095231281
MONDO:0000872	0.0105266818629699	0.004132231404958678	7.514472982195259
MONDO:0024881	0.017215149258378	0.0068212824010914054	4.974489871778304
MONDO:0044986	0.0080842642605397	0.005434782608695652	5.703847469105047
MONDO:0003382	0.0049447202225735	0.004076086956521739	4.1315594685542285
MONDO:0100137	0.0324437088423692	0.005434782608695652	7.188694805462152
MONDO:0002715	0.025963817785031	0.008185538881309686	6.871306342748512
MONDO:0004988	0.0599821223080955	0.007122507122507123	6.11078082275518
MONDO:0021637	0.017137667552308	0.00816326530612245	5.172555725410665
MONDO:0005454	0.0124449656517611	0.004081632653061225	6.441312650766091
MONDO:0000473	0.0918833944485999	0.014965986394557823	5.801786285566811
MONDO:0004985	0.0316354978396815	0.010869565217391304	6.444127488562608
MONDO:0005626	0.309242646793133	0.17798913043478262	2.2113565503289445
MONDO:0019755	0.0395133271149641	0.02309782608695652	3.7787921056114397
MONDO:0003105	0.0383849602763108	0.02309782608695652	5.1713945842416695
MONDO:0020122	0.0080988513575564	0.004076086956521739	6.57324155857953
MONDO:0005249	0.012993506410799	0.004087193460490463	6.67438472302708
MONDO:0006509	0.028871444842517	0.004098360655737705	7.930737337562887
MONDO:0024237	0.111560623654225	0.02312925170068027	4.828262393078225
MONDO:0024664	0.0277177961460584	0.004081632653061225	7.93663793900257
MONDO:0005575	0.0925279880483991	0.040927694406548434	4.3502197158713045
MONDO:0000588	0.0104923530709544	0.005442176870748299	7.44759985827995
MONDO:0004975	0.1114106914096697	0.027247956403269755	4.980369402983066
MONDO:0004972	0.0170322697656727	0.00816326530612245	5.472252739103361
MONDO:0021094	0.0076801722705636	0.005434782608695652	5.658211482751795
MONDO:0024296	0.0116557396638325	0.004081632653061225	7.599602951725
MONDO:0019751	0.0151703678040187	0.005434782608695652	7.071462362556624
MONDO:0002320	0.0101182554431195	0.006793478260869565	6.334642778373086
MONDO:0004967	0.0778371078793135	0.0286493860845839	4.992383488286236
MONDO:0005233	0.1311652199170787	0.024691358024691357	5.187974488022631
MONDO:0021096	0.0401573347618715	0.005442176870748299	6.994421435588203
MONDO:0002771	0.0143537642041438	0.004081632653061225	7.93663793900257
MONDO:0002516	0.177860370965059	0.09686221009549795	3.147814086009873
MONDO:0100308	0.004021755688515	0.004076086956521739	7.938599455335857
MONDO:0004355	0.0114439208402277	0.006830601092896175	6.2437343558705045
MONDO:0010383	0.011883118871601	0.004076086956521739	7.938599455335857
MONDO:0001187	0.0131960309193639	0.004092769440654843	7.932706887412656
MONDO:0017594	0.0747677403055793	0.015006821282401092	5.672437038373662
