node,IC
CL:0000079,6.958638489296707
CL:0000080,8.057250777964818
UBERON:0000179,6.958638489296707
CL:0000081,7.268793417600547
CL:0000082,7.0276313607836585
UBERON:0004119,2.8721021095224186
UBERON:0000115,5.953116623694609
UBERON:0002048,4.5427247109956586
CL:0000083,7.181782040610917
UBERON:0001264,5.816541088688859
CL:0000542,5.178052320666778
CL:0000084,7.720778541343604
CL:0000766,6.083169751942807
CL:0000092,7.874929221170863
CL:0001035,6.488634860050972
UBERON:0001474,2.0583142160181342
CL:0000094,8.973541509838972
CL:0002319,4.273061144046555
CL:0000095,6.140328165782756
CL:0000098,7.181782040610917
CL:0000099,6.265491308736761
CL:0000527,6.20095278759919
CL:0000100,7.874929221170863
CL:0000526,6.029102530672532
CL:0000103,8.568076401730808
CL:0000104,6.958638489296707
CL:2000032,7.874929221170863
CL:0000107,8.973541509838972
CL:0000108,8.280394329279027
CL:0000221,8.568076401730808
CL:0000114,9.666688690398917
CL:0000115,5.297240837931896
CL:0000117,6.722249711232477
UBERON:0001017,1.9109215202959193
CL:0000118,8.057250777964818
CL:0011005,7.181782040610917
CL:4023057,8.973541509838972
CL:0000119,9.666688690398917
CL:0000120,7.874929221170863
CL:0000121,9.666688690398917
CL:1001611,7.587247148719081
CL:0000122,8.568076401730808
CL:0000123,8.057250777964818
CL:0000125,6.334484180223713
CL:0000126,7.268793417600547
CL:0000127,7.720778541343604
CL:0000128,8.973541509838972
CL:4023154,8.280394329279027
CL:0000133,9.666688690398917
CL:0000134,7.0276313607836585
CL:0000499,6.20095278759919
CL:0000135,8.280394329279027
CL:0000325,5.555814826225606
CL:0000136,7.268793417600547
CL:0000137,9.666688690398917
UBERON:0002481,6.232701485913771
CL:0000153,7.874929221170863
CL:0000138,8.057250777964818
CL:0000667,7.874929221170863
CL:0000738,4.70384406013901
CL:0000145,5.362623597194747
CL:0000147,6.894099968159136
CL:0000148,7.101739332937381
CL:0000149,8.973541509838972
CL:0000150,4.904514755601161
UBERON:0006799,4.746707764570792
CL:0000152,6.776316932502753
UBERON:0002365,3.873675082014773
CL:0000327,7.364103597404871
CL:0000447,7.720778541343604
CL:0000154,7.181782040610917
CL:0000155,9.666688690398917
CL:0002659,7.0276313607836585
CL:0000157,8.568076401730808
CL:0000158,9.666688690398917
CL:0002202,6.833475346342701
CL:0000159,6.055770777754693
CL:0000160,6.447812865530716
CL:0000319,6.299392860412443
CL:0000161,6.958638489296707
CL:0000162,9.666688690398917
CL:0000163,5.71544497181749
CL:0000164,5.71544497181749
UBERON:0000949,4.017714452237711
CL:0000165,6.488634860050972
CL:0000166,7.0276313607836585
CL:0000568,6.958638489296707
CL:0000167,6.20095278759919
CL:0000168,8.973541509838972
CL:0000169,9.666688690398917
CL:0008024,8.057250777964818
UBERON:0000006,8.057250777964818
CL:0000170,8.280394329279027
CL:0002067,8.568076401730808
CL:0000171,9.666688690398917
CL:0000172,7.874929221170863
CL:0000502,8.057250777964818
CL:0000173,9.666688690398917
CL:0000174,7.101739332937381
CL:0000179,8.973541509838972
CL:0000175,9.666688690398917
CL:0002132,8.057250777964818
UBERON:0002512,8.973541509838972
CL:0000177,8.973541509838972
CL:0000178,9.666688690398917
CL:4030031,6.894099968159136
UBERON:0005212,8.568076401730808
CL:0000182,8.280394329279027
CL:0000417,8.057250777964818
UBERON:0002107,5.21234139414541
CL:0000183,4.870898144802176
CL:0000185,7.469464113062697
CL:0000187,5.041715877114647
CL:0000393,4.094534658221153
CL:0000188,7.101739332937381
UBERON:0001134,4.662742384453458
CL:0008046,8.568076401730808
CL:0000189,9.666688690398917
CL:0000190,9.666688690398917
CL:0008000,5.572344128176817
CL:0008007,5.376229249250526
UBERON:0001032,0.003808802928642052
CL:0000199,6.622166252675495
CL:0000200,9.666688690398917
CL:4023168,8.568076401730808
CL:0000855,6.722249711232477
CL:0000202,8.568076401730808
CL:0000206,7.469464113062697
CL:0000207,8.568076401730808
UBERON:0005725,6.232701485913771
CL:0000209,8.973541509838972
CL:0002076,4.913098499292553
CL:0000210,7.720778541343604
CL:0000211,4.086958864412695
CL:0000215,5.051568173557658
CL:0000214,8.973541509838972
UBERON:0002217,4.683082068690581
CL:0000511,8.973541509838972
CL:0000216,9.666688690398917
CL:0000630,6.334484180223713
CL:0002625,8.568076401730808
UBERON:0001343,8.057250777964818
CL:0000217,8.973541509838972
CL:0000218,9.666688690398917
CL:0002573,8.568076401730808
CL:0000219,4.61044288505061
UBERON:0000924,5.0615185044108255
CL:0000222,8.568076401730808
UBERON:0000926,6.029102530672532
CL:0000223,8.973541509838972
UBERON:0000925,7.101739332937381
CL:0000225,7.469464113062697
CL:0002242,4.548694877982162
CL:0000226,4.862667645665661
CL:0000228,6.833475346342701
CL:0000227,9.666688690398917
